state,num_tweets,num_users,per_capita,lon,lat
Utah,26289,8277,3.1761507792678505,-111.67806,39.32378
Minnesota,64736,19445,3.3291848804319875,-94.30634,46.31793
Ohio,144087,45860,3.141888355865678,-82.79137,40.29479
Arkansas,19302,6142,3.1426245522631064,-92.43785,34.90002
Oregon,78928,19240,4.102286902286902,-120.55674,43.93693
Texas,496456,158768,3.1269273405220197,-99.33232,31.462
North Dakota,4775,1745,2.7363896848137537,-100.46881,47.44632
Pennsylvania,163179,47616,3.426978326612903,-77.79954,40.87416
Connecticut,29533,7988,3.6971707561342013,-72.72689,41.61873
Nebraska,20744,7042,2.945754047145697,-99.81026,41.52719
Vermont,5759,1353,4.256467110125647,-72.66221,44.07478
Nevada,81539,21375,3.814690058479532,-116.65525,39.3563
Washington,157113,39337,3.9940259806289244,-120.47905,47.38311
Illinois,222050,64982,3.41710012003324,-89.19752,40.06348
Oklahoma,38659,12457,3.1033956811431325,-97.50897,35.5843
Delaware,6737,1727,3.9009843659525187,-75.50095,39.00063
New Mexico,20107,5261,3.8218969777608818,-106.10836,34.42141
West Virginia,10867,3648,2.978892543859649,-80.61164,38.64411
Missouri,69721,20028,3.481176353105652,-92.47789,38.36847
Rhode Island,14413,4263,3.380952380952381,-71.53089,41.67243
Georgia,152807,46732,3.269857913207224,-83.44336,32.64809
Montana,9718,2568,3.784267912772586,-109.64303,47.03433
Michigan,93438,28426,3.2870611412087527,-84.6208,43.48876
Virginia,85586,24316,3.5197400888303996,-78.86117,37.5103
North Carolina,103103,31995,3.2224722612908265,-79.18181,35.53869
Wyoming,3531,964,3.662863070539419,-107.55124,42.99963
Kansas,27802,8598,3.2335426843451964,-98.37891,38.48515
New Jersey,52583,15690,3.351370299553856,-74.66084,40.18497
Maryland,76388,21144,3.6127506621263716,-76.75239,39.02997
Alabama,43574,13302,3.275748007818373,-86.82839,32.78888
Arizona,114313,29185,3.9168408428987496,-111.66448,34.29283
Iowa,27935,8912,3.1345377019748653,-93.49896,42.07492
Massachusetts,157610,43355,3.6353361780648137,-71.79442,42.25865
Kentucky,39078,12560,3.1113057324840763,-85.28902,37.52595
Louisiana,63045,19052,3.3091014066764646,-91.94549,31.02018
Mississippi,16615,5682,2.924146427314326,-89.66216,32.75095
New Hampshire,9460,2783,3.399209486166008,-71.5767,43.68569
Tennessee,87243,26935,3.239019862632263,-86.34064,35.84332
Florida,317122,85036,3.729267604308763,-81.57,28.2
Indiana,57576,19626,2.9336594313665545,-86.27501,39.90782
Idaho,13499,3595,3.7549374130737134,-114.65872,44.39033
South Carolina,37588,11551,3.254090554930309,-80.89521,33.90818
South Dakota,5042,1811,2.7840971838763116,-100.23071,44.43595
California,887520,246783,3.5963579338933394,-119.61177,37.25366
New York,249769,69043,3.6175861419694972,-75.49899,42.93771
Wisconsin,43493,13445,3.2348828560803273,-90.01083,44.6351
Colorado,87025,25279,3.4425807982910714,-105.5476,38.99842
Maine,9555,2710,3.525830258302583,-69.21419,45.34413
